Item name,Category,Item price,Dietary Tag (veg/non veg/egg),Item Type (Goods / Services),Serving Size,Subcategory,Item description,Variant,Variant Price,Add Ons,Add on Prices
Indori Poha,Breakfast,119,veg,Goods,1 plate,Breakfast,"Indori Poha made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Veg Sandwich,Breakfast,109,veg,Goods,1 plate,Breakfast,"Veg Sandwich made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Veg Cheese Sandwich,Breakfast,129,veg,Goods,1 plate,Breakfast,"Veg Cheese Sandwich made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Grilled Veg Cheese Sandwich,Breakfast,149,veg,Goods,1 plate,Breakfast,"Grilled Veg Cheese Sandwich made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Poori Sabzi,Breakfast,139,veg,Goods,1 plate,Breakfast,"Poori Sabzi made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Bread Butter,Breakfast,59,veg,Goods,1 plate,Breakfast,"Bread Butter made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Bread Omelette,Breakfast,89,veg,Goods,1 plate,Breakfast,"Bread Omelette made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Bread Jam,Breakfast,59,veg,Goods,1 plate,Breakfast,"Bread Jam made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Plain Maggi,Maggi,89,veg,Goods,1 plate,Maggi,"Plain Maggi made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Cheese Maggi,Maggi,129,veg,Goods,1 plate,Maggi,"Cheese Maggi made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Veg Maggi,Maggi,119,veg,Goods,1 plate,Maggi,"Veg Maggi made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Egg Maggi,Maggi,129,veg,Goods,1 plate,Maggi,"Egg Maggi made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Rajma,Main Course,169,veg,Goods,1 plate,Main Course,"Rajma made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Chole,Main Course,159,veg,Goods,1 plate,Main Course,"Chole made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Dal Tadka,Main Course,149,veg,Goods,1 plate,Main Course,"Dal Tadka made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Dal Fry,Main Course,139,veg,Goods,1 plate,Main Course,"Dal Fry made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Kala Chana,Main Course,149,veg,Goods,1 plate,Main Course,"Kala Chana made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Paneer Butter Masala,Main Course,219,veg,Goods,1 plate,Main Course,"Paneer Butter Masala made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Kadhai Paneer,Main Course,219,veg,Goods,1 plate,Main Course,"Kadhai Paneer made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Shahi Paneer,Main Course,229,veg,Goods,1 plate,Main Course,"Shahi Paneer made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Palak Paneer,Main Course,209,veg,Goods,1 plate,Main Course,"Palak Paneer made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Palak Corn,Main Course,189,veg,Goods,1 plate,Main Course,"Palak Corn made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Mushroom Masala,Main Course,199,veg,Goods,1 plate,Main Course,"Mushroom Masala made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Jeera Aloo,Main Course,139,veg,Goods,1 plate,Main Course,"Jeera Aloo made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
Aloo Bhujiya,Main Course,129,veg,Goods,1 plate,Main Course,"Aloo Bhujiya made with fresh ingredients, bursting with authentic flavors. A must-try for a satisfying and delicious experience!",-,-,-,-
